STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,01-04-1961,,,,,1.93,0,0,69,50
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,02-04-1961,,,,,0,0,0,62,37
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,03-04-1961,,,,,0,0,0,67,44
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,04-04-1961,,,,,0.14,0,0,67,38
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,05-04-1961,,,,,0,0,0,60,32
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,06-04-1961,,,,,0,0,0,73,44
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,07-04-1961,,,,,0.04,0,0,56,37
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,08-04-1961,,,,,0,0,0,69,37
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,09-04-1961,,,,,0,0,0,64,43
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,10-04-1961,,,,,0.57,0,0,65,46
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,11-04-1961,,,,,0,0,0,63,31
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,12-04-1961,,,,,1.89,0,0,68,36
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,13-04-1961,,,,,0.07,0,0,74,49
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,14-04-1961,,,,,0,0,0,63,32
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,15-04-1961,,,,,1.25,0,0,73,41
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,16-04-1961,,,,,0.71,0,0,65,42
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,17-04-1961,,,,,0,0,0,61,42
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,18-04-1961,,,,,0,0,0,69,40
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,19-04-1961,,,,,0,0,0,66,35
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,20-04-1961,,,,,0,0,0,69,39
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,21-04-1961,,,,,0,0,0,69,40
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,22-04-1961,,,,,0,0,0,74,50
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,23-04-1961,,,,,0,0,0,80,59
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,24-04-1961,,,,,0,0,0,84,61
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,25-04-1961,,,,,0,0,0,82,61
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,26-04-1961,,,,,0.32,0,0,83,67
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,27-04-1961,,,,,1.83,0,0,76,56
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,28-04-1961,,,,,0.69,0,0,57,47
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,29-04-1961,,,,,0,0,0,77,39
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,30-04-1961,,,,,0,0,0,71,40
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,01-05-1961,,,,,0,0,0,77,50
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,02-05-1961,,,,,1.51,0,0,66,59
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,03-05-1961,,,,,0,0,0,76,45
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,04-05-1961,,,,,0,0,0,76,47
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,05-05-1961,,,,,0,0,0,79,57
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,06-05-1961,,,,,0,0,0,77,61
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,07-05-1961,,,,,0,0,0,85,62
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,08-05-1961,,,,,0,0,0,85,63
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,09-05-1961,,,,,0,0,0,86,64
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,10-05-1961,,,,,0.58,0,0,72,58
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,11-05-1961,,,,,0.42,0,0,63,57
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,12-05-1961,,,,,0.66,0,0,76,57
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,13-05-1961,,,,,0.18,0,0,72,56
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,14-05-1961,,,,,0,0,0,79,56
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,15-05-1961,,,,,0,0,0,86,59
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,16-05-1961,,,,,0,0,0,86,64
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,17-05-1961,,,,,0,0,0,83,61
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,18-05-1961,,,,,0,0,0,85,59
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,19-05-1961,,,,,0,0,0,78,62
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,20-05-1961,,,,,0,0,0,86,62
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,21-05-1961,,,,,0,0,0,83,60
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,22-05-1961,,,,,0,0,0,85,59
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,23-05-1961,,,,,0.32,0,0,77,59
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,24-05-1961,,,,,0,0,0,75,53
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,25-05-1961,,,,,0,0,0,81,56
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,26-05-1961,,,,,0.22,0,0,78,63
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,27-05-1961,,,,,0.45,0,0,69,43
USC00090311,"APPLING 2 NW, GA US",33.55731,-82.33683,120.7,28-05-1961,,,,,0,0,0,71,43
