STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMNT,EMXP,EMXT,PRCP,TMAX,TMIN
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1945-01,24,0.41,66,1.34,57.1,36.8
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1945-02,21,0.97,79,3.85,62.9,42.6
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1945-03,38,0.28,90,0.75,77.9,53.6
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1945-04,36,0.92,89,3.88,79.1,56.4
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1945-05,45,0.81,98,2.17,81.4,58.9
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1945-06,59,0.59,102,2.28,93,69.5
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1945-07,68,1.15,101,5.29,90.3,71.1
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1945-08,66,0.65,95,1.67,89.7,70.6
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1945-09,62,1.69,98,5.19,87.6,69.6
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1945-10,38,0.78,86,1.59,76,53
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1945-11,25,0.19,82,0.44,69.2,46.2
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1945-12,19,2.27,65,7.98,50.6,33
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1946-01,23,0.84,75,2.17,58.1,39.1
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1946-02,30,1.34,75,1.93,64.8,40.7
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1946-03,38,0.98,84,2.52,73,51.8
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1946-04,40,1.52,92,5.8,78.1,55.1
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1946-05,51,1.29,88,3.79,82.2,61.8
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1946-06,57,1.25,98,2.68,90.2,68.3
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1946-07,65,1.16,97,2.91,89.7,71.2
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1946-08,60,0.44,99,0.93,90.1,69.7
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1946-09,55,2.65,92,3.52,84,64.9
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1946-10,44,4.81,85,6.15,76.8,54.9
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1946-11,37,1.22,82,3.95,69.9,52.2
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1946-12,27,0.22,78,0.52,64.8,40.8
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1947-01,24,1.84,76,4.89,59.7,42.7
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1947-02,18,0.65,74,1.05,55,31.1
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1947-03,24,2.33,80,7.42,58.9,38.4
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1947-04,42,2.14,88,5.46,78.8,56.8
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1947-05,47,0.53,95,1.45,84.6,62.3
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1947-06,54,2.33,100,4.07,88.4,68.2
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1947-07,62,1.13,98,2.42,89.8,68.5
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1947-08,66,1.62,98,7.08,88.9,70.7
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1947-09,46,1.52,99,2.84,86.8,66.6
USW00003820,"AUGUSTA BUSH FIELD AIRPORT, GA US",33.36517,-81.96353,40.9,1947-10,51,1.99,87,5.91,77.9,61
